(x 581 396 399)
(y 1491 566 573)
(y 1470 599 601)
(y 980 526 541)
(y 1173 487 497)
(y 402 616 623)
(y 361 534 577)
(x 461 1151 1163)
(x 530 431 443)
(x 426 976 980)
(y 794 520 524)
(y 1574 600 604)
(x 556 667 677)
(x 482 1131 1141)
(x 508 158 169)
(x 472 1149 1159)
(y 564 600 619)
(x 590 1607 1616)
(y 1401 421 437)
(x 566 1187 1191)
(x 616 392 402)
(x 404 1561 1572)
(y 886 580 601)
(x 464 786 795)
(y 1588 414 417)
(x 568 1255 1257)
(x 511 719 741)
(x 580 716 733)
(x 553 409 420)
(x 430 133 147)
(y 940 486 498)
(y 748 560 577)
(x 546 139 147)
(x 470 1202 1204)
(y 304 465 484)
(x 610 68 89)
(x 589 1139 1162)
(x 409 60 82)
(x 452 1037 1046)
(x 575 516 529)
(x 588 1370 1377)
(y 843 421 423)
(y 320 504 515)
(x 501 1299 1327)
(y 1010 604 609)
(x 526 656 668)
(y 385 478 481)
(x 481 763 775)
(x 410 418 428)
(x 615 1279 1307)
(x 464 553 566)
(x 619 593 603)
(x 556 450 477)
(x 525 116 126)
(x 538 955 963)
(y 1127 592 616)
(y 1229 485 503)
(x 474 270 282)
(y 1295 408 420)
(y 1297 465 492)
(x 550 500 519)
(y 1148 572 574)
(x 450 575 587)
(y 590 552 567)
(x 516 385 394)
(x 594 1042 1048)
(x 595 794 806)
(x 418 1093 1096)
(y 968 471 494)
(x 623 856 874)
(x 447 208 217)
(x 444 578 590)
(x 465 683 694)
(x 566 1468 1491)
(y 83 600 603)
(x 416 1435 1451)
(y 187 620 626)
(y 932 561 571)
(y 775 481 486)
(y 1329 537 549)
(x 511 98 107)
(x 471 83 101)
(x 553 80 108)
(x 462 743 753)
(x 485 8 22)
(x 551 1034 1038)
(y 1490 618 626)
(y 408 479 502)
(y 1083 443 465)
(x 515 311 320)
(x 609 1140 1162)
(x 519 207 210)
(x 483 1425 1436)
(y 240 404 407)
(x 450 974 987)
(x 409 332 343)
(x 498 1431 1433)
(x 431 1458 1471)
(x 576 1076 1099)
(x 594 1586 1599)
(x 613 90 107)
(x 417 1500 1510)
(y 1357 600 612)
(y 1048 405 420)
(x 475 84 101)
(x 579 368 380)
(y 236 594 605)
(x 605 1590 1596)
(x 577 1532 1540)
(x 432 201 218)
(y 56 498 500)
(y 1590 603 605)
(x 531 1508 1512)
(x 437 333 343)
(y 1431 498 502)
(x 565 499 519)
(x 404 153 163)
(y 1099 576 586)
(x 558 1185 1195)
(y 477 556 565)
(x 623 1552 1563)
(x 430 59 83)
(y 849 421 423)
(y 987 450 472)
(x 408 805 818)
(x 593 250 264)
(y 561 608 613)
(x 584 1608 1616)
(x 485 1321 1330)
(x 616 1235 1242)
(x 480 417 428)
(x 435 976 980)
(x 565 449 477)
(x 428 1587 1608)
(y 39 508 512)
(y 967 432 458)
(x 404 572 592)
(x 579 1199 1218)
(x 622 729 741)
(y 322 554 600)
(x 525 1373 1394)
(y 480 607 616)
(x 524 1340 1345)
(y 581 589 591)
(y 679 448 464)
(y 809 451 453)
(y 963 538 543)
(y 1593 483 498)
(x 457 396 404)
(x 610 1019 1042)
